WEEKLY MATERIAL INVENTORY,,,,,,,,,,,,,,,,,,,,,,,
F-IVM-008 || Rev.1 || 10/05/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Project:,ALTAIRE,,,,,,,,,,,,,,,,,,,,,
,Subject:,Monthly Inventory Monitoring November 2024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, FINAL ,,,,,,,,,,,,,,,,,
#,NewCoDe,Item Description,UOM, Trade ,Beginning Balance as of 11/3/24, STOCK ON HAND ,,,,,,,,,,,,,,,,,
,,,,,,11/4/24 - 11/9/24,,,11/11/24 - 11/16/24,,,11/18/24 - 11/23/24,,,11/25/24 - 11/30/24,,,10/28/24 - 11/2/24,,,,,
,,,,,,10-Nov-24,,,17-Nov-24,,,24-Nov-24,,,01-Dec-24,,,08-Dec-24,,,,,
,,,,,,IN, OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , TOTAL RECEIVE , TOTAL ISSUED , STOCK ON HAND 
,,,,,,TOTAL RECEIVED, TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,,,,
1,0368-034B," DAVCO K11, Slurry Part A 25kg Powder (34kg/set) ", Bag , 0-Architectural ,16,,,16.0,,,16.0,,,16.0,,,16.0,,,16.0,0.0,0.0, 16.0 
2,0368-034C," DAVCO K11, Slurry Part B 9kg Liquid (34kg/set) ", Pail , 0-Architectural ,16,,,16.0,,,16.0,,,16.0,,,16.0,,,16.0,0.0,0.0, 16.0 
3,0774-0002, Miscellaneous-Safety Materials-Fire Safety-Personal Equipment-Fire Blanket- , Sheet , 0-Architectural ,24,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,0.0,0.0, 24.0 
4, 0A-01-1104 ," Architectural, Ceiling and Drywall Partitions - Boards - Acoustic Boards, Fine Fissured Type60cmx60cmx5/8"" thk. ", Piece , 0-Architectural ,200,,,200.0,,,200.0,,,200.0,,,200.0,,,200.0,0.0,0.0, 200.0 
4, 0O-02-01110 ," Architectural, Plumbing Fixtures & Accessories - Water Closet, Connecting Pipe for Sensor Toilet, Polished, Chrome Finish ", Piece , 0-Architectural ,5,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,0.0,0.0, 5.0 
5,0A-01-3100," Architectural, Ceiling and Drywall Partitions - Boards - Gypsum Boards, MR, 4'x8'x12mm thk. ", Piece , 0-Architectural ,150,,,150.0,,,150.0,,,150.0,,,150.0,,,150.0,0.0,0.0, 150.0 
6,0A-01-9001," PROMATECT-H Calcium Silicate Board, ( 9mm thick x 1220mm x 2440mm) ", Sheet , 0-Architectural ,300,,,300.0,,,300.0,,,300.0,,,300.0,,,300.0,0.0,0.0, 300.0 
7, 0B-02-1013 ," Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 12mm x 38mm x 5m (16');Gauge 0.8mm ", Length_5 , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
8, 0B-03-1103 ," Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 5m;Gauge 0.6mm ", Length , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
9,0B-03-1106," Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 5m;Gauge 0.4mm ", Length_5 , 0-Architectural ,36,,,36.0,,,36.0,,,36.0,,,36.0,,,36.0,0.0,0.0, 36.0 
10,0B-05-1001," Architectural, Ceiling Grid Components and Frames - Furring W-Clip - Metal0.40mm ", Piece , 0-Architectural ,387,,,387.0,,,387.0,,,387.0,,,387.0,,,387.0,0.0,0.0, 387.0 
11,0B-07-0022," Architectural, Ceiling Grid Components and Frames - Wall Angle - White powdercoated, 1""x1""x10' T=0.4mm ", length , 0-Architectural ,22,,,22.0,,,22.0,,,22.0,,,22.0,,,22.0,0.0,0.0, 22.0 
12, 0B-07-1005 ," Architectural, Ceiling Grid Components and Frames - Wall Angle - Aluminum25mm x 25mm x 3m;Gauge 26 ", Length_3 , 0-Architectural ,162,,,162.0,,,162.0,,,162.0,,,162.0,,,162.0,0.0,0.0, 162.0 
13, 0B-07-1006 ," Architectural, Ceiling Grid Components and Frames - Wall Angle - Aluminum 1"" x 1"" x 10' ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
14,0B-07-1331," Architectural, Ceiling Grid Components and Frames - Wall Angle  - Aluminum, L Type, 0.4mm, 25mm x 50mm x 2.4m ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
15,0B-08-0105," Main tee 1 1/2"" x 1"" x 12' ", Meter , 0-Architectural ,34,,,34.0,,,34.0,,,34.0,,,34.0,,,34.0,0.0,0.0, 34.0 
16,0B-08-0202," Tee - Cross 1"" x 1"" x 2' (25mm x 25mm x 610mm) ", Length_0.6 , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
17, 0B-10-0101 ," Architectural, Ceiling Grid Components and Frames - Hanger Braket - J-type0.4mm x 4"" ", Piece , 0-Architectural ,300,,,300.0,,,300.0,,,300.0,,,300.0,,,300.0,0.0,0.0, 300.0 
18, 0B-10-0300 ," Architectural, Ceiling Grid Components and Frames - Hanger Braket - Carrying channel ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
19,0b-13-2030," Architectural, Ceiling Grid Components and Frames - Aluminum Ceiling Manhole, White, 600mm x 600mm ", Piece , 0-Architectural ,15,,,15.0,,,15.0,,,15.0,,,15.0,,,15.0,0.0,0.0, 15.0 
20,0C-01-30010," 5400mmL x 2100mmH x 27mm thk Stainless Steel Honeycomb Panel w/ Door (door dimension: 600mm x 1980mm), Inclusion: Top Rails, Hidden-Rails, and Screws ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
21,0C-01-30011," 4500mmL x 2100mmH x 27mm thk Stainless Steel Honeycomb Panel w/ Door (door dimension: 600mm x 1980mm), Inclusion: Top Rails, Hidden-Rails, and Screws ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
22,0C-01-30012," 2700mmL x 2100mmH x 27mm thk Stainless Steel Honeycomb Panel w/ Door (door dimension: 600mm x 1980mm), Inclusion: Top Rails, Hidden-Rails, and Screws ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
23,0C-01-30013," 927mmL x 2100mmH x 27mm thk Stainless Steel Honeycomb Panel w/ Door (door dimension: 600mm x 1980mm), Inclusion: Top Rails, Hidden-Rails, and screws ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
24,0C-01-3012," 927mmL x 2100mmH x 27mm thk Stainless Steel Honeycomb Panel w/ Door (door dimension: 600mm x 1980mm), Inclusion: Top Rails, Hidden-Rails, and screws ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
25,0C-01-3022," 5500mL x 3080mmH x 27mm thk MATTE BLACK Stainless Steel Honeycomb Panel w/ fixed panel over door (door dimension: 700mm x 2200mm), Inclusion: Hidden-Rails, and Screws ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
26,0D-10-1010," Architectural, Door Accessories - HANDLE: JLF79-04, 304 Stainless Steel, Hairline Finish ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
27, 0D-11-0003 ," Architectural, Door Accessories - Door Hinges - 4"" x 4"" ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
28,0D-12-02400," Architectural, Door Accessories - Door Knob/Lockset - Mortise Lever Lockset ", Set , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
29,0D-12-8004," lOCK:  JLF75-N01,  304  Stainless  Steel,  Hairline Finish ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
30,0D-12-8007," LEG: JLF27-1, 304 Stainless Steel, Hairline Finish ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
31,0D-12-8008," COAT HOOK: JLF76-05, 304 Stainless Steel, Hairline Finish ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
32,0D-12-8009," HINGE: JLF-10 NEW, 304 Stainless Steel, Hairline Finish ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
33, 0E-03-8000 ," Architectural, Waterproofing - Cementitious - Rapid Plug K11 ", Buckets_5kg , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
34,0F-04-1001," Architectural, Wall/ Floor Finish - Concrete Adhesive - Epoxy Concrete, Non-sag ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
35,0F-04-1200," Epoxy concrete , A&B low viscosity ", Set , 0-Architectural ,45,,,45.0,,,45.0,,,45.0,,,45.0,,,45.0,0.0,0.0, 45.0 
36,0F-05-001792," Floor Tile - US Black, 1400mm x 950mmx18mm thickness  Process:  Light  Leather  Face  Weight: 329.18 kg Area Coverage: 6.65 sq. m ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
37,0F-05-001793," Floor Tile  -  US  Black,  900mm  x  670mmx18mm thickness  Process:  Light  Leather  Face  Weight: 2596.82 kg Area Coverage: 52.461 sq. m ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
